category,imagery,classic_line,author,dynasty,novel_usage,emotion,scene_type
意象,火/光,野火烧不尽,白居易,唐,写生命力顽强不可摧毁，替代"怎么也消灭不了",壮志,战场
意象,火/光,星火燎原,《尚书》,先秦,写微小力量终成大势，替代"小力量也能成大事",壮志,战场
意象,火/光,灯火阑珊处,辛弃疾,宋,写在喧嚣中找到真正想要的东西，替代"他终于找到了",孤独,月夜
意象,火/光,日出江花红胜火,白居易,唐,写日出时分的壮丽色彩，替代"太阳出来了，很美",壮志,雨景
意象,火/光,蜡炬成灰泪始干,李商隐,唐,写燃烧自己照亮他人的极致付出，替代"他付出了所有",悲愤,月夜
情感,离别,劝君更尽一杯酒,王维,唐,写送别时无言以对只能劝酒，替代"他要走了，大家很舍不得",离别,雨景
情感,离别,莫愁前路无知己,高适,唐,写送别时的豪迈鼓励，替代"别担心，你会遇到好人的",壮志,战场
情感,离别,海内存知己,王勃,唐,写距离隔不断真情的豁达，替代"虽然离得远但心在一起",离别,月夜
情感,离别,执手相看泪眼,柳永,宋,写离别时相望无语的酸楚，替代"他们看着对方哭了",离别,雨景
情感,离别,多情自古伤离别,柳永,宋,写离别之苦的普遍性感慨，替代"离别总是让人难过",离别,雨景
情感,离别,洛阳亲友如相问,王昌龄,唐,写托人带话的含蓄深情，替代"帮我跟家里人说一声",思乡,雨景
情感,思乡,独在异乡为异客,王维,唐,写身在异地的孤独感，替代"他在外地很孤独",孤独,月夜
情感,思乡,乡音无改鬓毛衰,贺知章,唐,写回乡时物是人非的感慨，替代"他回去了但都变了",悲愤,雪景
情感,思乡,日暮乡关何处是,崔颢,唐,写黄昏时分的思乡迷茫，替代"天黑了他想家了",孤独,月夜
情感,思乡,春风又绿江南岸,王安石,宋,写季节变化勾起的归乡念头，替代"春天了他想回家",思乡,雨景
情感,思乡,浊酒一杯家万里,范仲淹,宋,写边关将士借酒浇乡愁，替代"他喝着酒想家",悲愤,战场
情感,壮志,天生我材必有用,李白,唐,写自信不被认可的才华终将发光，替代"他相信自己一定行",壮志,月夜
情感,壮志,老骥伏枥,曹操,汉,写年老仍有雄心壮志，替代"他虽然老了但还有梦想",壮志,战场
情感,壮志,男儿何不带吴钩,李贺,唐,写男儿当建功立业的激昂，替代"男人就该去战斗",壮志,战场
情感,壮志,会挽雕弓如满月,苏轼,宋,写壮志未酬的渴望与想象，替代"他想要上阵杀敌",壮志,战场
情感,壮志,直挂云帆济沧海,李白,唐,写乘风破浪的决心，替代"他决定勇往直前",壮志,战场
情感,悲愤,出师未捷身先死,杜甫,唐,写壮志未酬身先亡的悲剧，替代"他还没成功就死了",悲愤,战场
情感,悲愤,商女不知亡国恨,杜牧,唐,写对麻木不仁者的愤慨，替代"他们根本不在乎",悲愤,月夜
情感,悲愤,遗民泪尽胡尘里,陆游,宋,写沦陷区百姓的苦难，替代"百姓们很苦",悲愤,战场
情感,悲愤,臣子恨何时灭,岳飞,宋,写国仇未报的刻骨之恨，替代"他恨极了敌人",悲愤,战场
情感,悲愤,怒发冲冠,岳飞,宋,写极度愤怒的爆发，替代"他非常生气",悲愤,战场
情感,孤独,独钓寒江雪,柳宗元,唐,写在绝境中独自坚持的孤傲，替代"他一个人坚持着",孤独,雪景
情感,孤独,前不见古人,陈子昂,唐,写无人理解的旷世孤独，替代"没有人懂他",孤独,雪景
情感,孤独,相看两不厌,李白,唐,写与自然或知己相对无言的默契，替代"他们互相看着不说话",孤独,月夜
情感,孤独,独坐幽篁里,王维,唐,写独自隐居的清寂，替代"他一个人待着",孤独,月夜
情感,孤独,冠盖满京华斯人独憔悴,杜甫,唐,写繁华中更显孤独的反差，替代"别人都很风光就他不行",悲愤,月夜
情感,爱情,两情若是久长时,秦观,宋,写真爱不怕距离的坚定，替代"真正的爱情不怕分开",爱情,月夜
情感,爱情,衣带渐宽终不悔,柳永,宋,写为情消瘦也无怨无悔，替代"他为了她变瘦了也不后悔",爱情,雨景
情感,爱情,曾经沧海难为水,元稹,唐,写经历过最好的就再也看不上别的，替代"他再也爱不上别人了",爱情,月夜
情感,爱情,在天愿作比翼鸟,白居易,唐,写至死不渝的爱情誓言，替代"他们发誓永远在一起",爱情,月夜
情感,爱情,此情可待成追忆,李商隐,唐,写事后才明白的遗憾，替代"他后来才后悔",爱情,月夜
情感,爱情,相见时难别亦难,李商隐,唐,写相见不易离别更难的纠结，替代"他们见面很难分开也很难",爱情,雨景
场景,战场,黄沙百战穿金甲,王昌龄,唐,写久经沙场的沧桑感，替代"他打了很久的仗",壮志,战场
场景,战场,角声满天秋色里,李贺,唐,写战场上号角回荡的肃杀，替代"战场上号角响了",悲愤,战场
场景,战场,黑云压城城欲摧,李贺,唐,大战前的压迫感，替代"天空很暗，气氛很紧张",悲愤,战场
场景,战场,铁马冰河入梦来,陆游,宋,写梦中仍在征战的不甘，替代"他做梦都在打仗",壮志,雪景
场景,战场,醉卧沙场君莫笑,王翰,唐,写战场上视死如归的豪迈，替代"他不怕死",壮志,战场
场景,战场,将军百战死,北朝民歌,南北朝,写战争的残酷与壮烈，替代"很多将军战死了",悲愤,战场
场景,月夜,海上生明月,张九龄,唐,写海边月升的辽阔与思念，替代"月亮从海面升起",思乡,月夜
场景,月夜,月落乌啼霜满天,张继,唐,写深夜的凄清与不眠，替代"夜深了很冷清",孤独,月夜
场景,月夜,明月几时有,苏轼,宋,写月下独酌的哲思时刻，替代"他看着月亮思考人生",壮志,月夜
场景,月夜,今夜月明人尽望,王建,唐,写众人同望月的集体思念，替代"大家都在看月亮",思乡,月夜
场景,月夜,月出惊山鸟,王维,唐,写月出的动态美与山间静谧，替代"月亮出来了，鸟飞了",孤独,月夜
场景,雨景,好雨知时节,杜甫,唐,写春雨的温柔与希望，替代"下雨了，万物复苏",壮志,雨景
场景,雨景,清明时节雨纷纷,杜牧,唐,写清明雨中的哀思氛围，替代"清明节下雨了",悲愤,雨景
场景,雨景,夜阑卧听风吹雨,陆游,宋,写夜半听雨的壮心与无奈，替代"他躺在床上听雨",壮志,雨景
场景,雨景,渭城朝雨浥轻尘,王维,唐,写清晨微雨中的送别，替代"早上下了点小雨",离别,雨景
场景,雨景,空山新雨后,王维,唐,写雨后山间的清新空灵，替代"雨停了，空气很好",孤独,雨景
场景,雪景,忽如一夜春风来,岑参,唐,写大雪纷飞如春花绽放的奇景，替代"雪下得很大很美",壮志,雪景
场景,雪景,窗含西岭千秋雪,杜甫,唐,写远眺雪山的壮阔与静美，替代"远处有雪山",孤独,雪景
场景,雪景,孤舟蓑笠翁,柳宗元,唐,写风雪中独钓的孤绝，替代"他一个人在雪中",孤独,雪景
场景,雪景,北风卷地白草折,岑参,唐,写极寒边塞的苦寒，替代"天很冷风很大",悲愤,雪景
场景,雪景,千山鸟飞绝,柳宗元,唐,写大雪封山的极致空寂，替代"雪很大，什么都没有",孤独,雪景
修辞,比喻,飞流直下三千尺,李白,唐,用夸张比喻写壮观场面，替代"瀑布很高",壮志,雨景
修辞,比喻,大漠孤烟直,王维,唐,用简洁线条勾勒壮阔画面，替代"沙漠里有一道烟",孤独,战场
修辞,比喻,问君能有几多愁恰似一江春水向东流,李煜,五代,用流水比喻愁绪的绵延不绝，替代"他很悲伤",悲愤,雨景
修辞,比喻,白发三千丈,李白,唐,用夸张比喻写愁苦之深，替代"他愁得头发都白了",悲愤,月夜
修辞,比喻,不知细叶谁裁出,贺知章,唐,用拟人比喻写自然之美，替代"柳叶很好看",壮志,雨景
修辞,通感,红杏枝头春意闹,宋祁,宋,用听觉词写视觉的生机盎然，替代"花开得很热闹",壮志,雨景
修辞,通感,暗香浮动月黄昏,林逋,宋,用嗅觉与光影交织写幽美，替代"月下有花香",爱情,月夜
修辞,通感,冷香飞上诗句,姜夔,宋,用触觉写嗅觉再写创作，替代"花香让人想写诗",孤独,雪景
修辞,通感,疏影横斜水清浅,林逋,宋,用视觉线条写梅花的清雅，替代"梅花的倒影很好看",孤独,雪景
修辞,通感,风来暗香满,李白,唐,用触觉引出嗅觉写风中的花香，替代"风吹来有香味",爱情,雨景
修辞,对比,朱门酒肉臭路有冻死骨,杜甫,唐,用极端对比写社会不公，替代"富人很浪费穷人很惨",悲愤,雪景
修辞,对比,商女不知亡国恨隔江犹唱后庭花,杜牧,唐,用对比写麻木与危机的并存，替代"有人享乐有人受苦",悲愤,月夜
修辞,对比,战士军前半死生美人帐下犹歌舞,高适,唐,用对比写战场与后方的天壤之别，替代"前线很惨后方很安逸",悲愤,战场
修辞,对比,旧时王谢堂前燕飞入寻常百姓家,刘禹锡,唐,用对比写时代变迁物是人非，替代"以前很辉煌现在很普通",悲愤,月夜
修辞,对比,年年岁岁花相似岁岁年年人不同,刘希夷,唐,用对比写自然永恒与人事无常，替代"花还是花但人变了",孤独,雨景
修辞,留白,此时无声胜有声,白居易,唐,用沉默写比言语更有力的情感，替代"他们什么都没说但都懂了",爱情,月夜
修辞,留白,言尽而意不尽,司空图,唐,写话已说完但意味深长的余韵，替代"他说完了但意思还在",孤独,月夜
修辞,留白,只可意会不可言传,《庄子》,先秦,写超越语言的微妙感受，替代"这种感觉说不出来",爱情,月夜
修辞,留白,相看两不厌,李白,唐,用无言相对写深厚默契，替代"他们互相看着不说话",孤独,月夜
修辞,留白,欲说还休,辛弃疾,宋,用欲言又止写最深的情感，替代"他想说但没说出口",悲愤,月夜
